Nama_Usaha,Alamat_Usaha,Kec_Usaha,Latitude,Longitude
Pangkas rambut,"Jl.Kapten Piere Tendean ,Kotakulon,Badean,kec .Bondowoso",Bondowoso,,
penjual kue keliling,selolembu,Curahdami,-7.8966014,113.7897075
Dapur Bo'Ya,Kelurahan Nangkaan Kabupaten Bondowoso ,Bondowoso,,
TOKO ANDA,Dsn Sumber Gading Onjur II 027/003,Sumberwringin,,
Rumah potong ayam,kh wahid hasyim,Bondowoso,-7.9135048,113.8329402
Pekebun,Kupang,Curahdami,-7.8976775,113.7147169
PEDAGANG KELILING,DUSUN KRAJAN RT.00 RW.02,Tamanan,,
APOTEK IKA FARMA,Jl.Kis Mangunsarkoro,Bondowoso,,
Adam ROMBONG,"Jln. Letjen Supratman, (depan masjid at-taqwa Bondowoso",Bondowoso,,
MLB (Mitra Lele Bondowoso),RT.016 / RW.003,Tlogosari,,
Firman Coffee,Jln.Situbondo Rt 32/Rw 11,Wonosari,,
ADE RAWIT,Dusun Kidul Sawah Barat RT. 031 RW. 007,Tamanan,,
WARUNG NASI,Jln. Piere Tendean no 29 RT 22. RW 04 Badean Bondowoso,Bondowoso,,
APIN JAYA,"PATEMON , TLOGOSARI, BONDOWOSO",Tlogosari,,
Apotek Apoteker Adhie,"Jl. Hos Cokroaminoto, RT 4, RW 2",Bondowoso,,
SASI ANGGREK,Jl. Mastrip Perum. Sukowiryo Indah A28,Bondowoso,,
UD. TAPE MANIS 48 CAK BOWO,Jl.Sersan Atmari iaRT 11 RW 02,Curahdami,,
Gita Koi,Jl. Brigjen Katamso RT 033 RW 002,Bondowoso,,
CIPTA KARYA MANDIRI,TANGSIL WETAN RT.006 RW. 002,Wonosari,,
Mitra Tani,Jurangsapi Rw58 Rw17 Tapen Bondowoso ,Tapen,,
TOKO NASIONAL ELEKTRONIK,Jl.PB. Sudirman No.43 RT.020 RW.005,Bondowoso,,
tempat service komputer,jl. letjen soeprapto 155,Bondowoso,,
UD CINDY,DESA BERCAK RT.019 RW.000,Cermee,,
TOKO,Pasar Pujer,Pujer,,
Kevin Store,Dusun Tamanan Timur RT 17 RW 04 ,Tamanan,,
JUAL BUAH,DUSUN PASAR RT.04 RW.01,Maesan,,
ROTIKU,Pasar Kita Jebung Kidul,Tlogosari,,
Pedagang arloji kaki lima,Alun-alun Kota Bondowoso,Bondowoso,,
ANDINI FLOWER,Dusun Krajan RT 013 RW 001,Tlogosari,,
TOKO DINI,Dusun Krajan RT 013 RW 001,Tlogosari,,
TOKO TIMOR,Jalan KH Wahid Hasyim No.33 ( 194 A ),Bondowoso,,
RUMAH KOS BAROKAH,Jln. Jendpol Sucipto Yudodiharjo Gg. Purbosari No. 44 Rt. 028 Rw. 006,Bondowoso,,
UD SUMBER REJEKI,DESA BATAAN ,Tenggarang,,
UD. BERKAH ABADI,Desa Jebung Lor RT 013 RW 001,Tlogosari,,
"UD."" ADI JAYA """,Desa Pecalongan Rt.011/Rw.003,Sukosari,,
BENGKEL MOTOR,KLADI CERMEE BONDOWOSO,Cermee,,
"Salon ""EMERALD""",Jl. Mayjen. Sutoyo no.19,Bondowoso,,
ADI TANGLOR,Belakangnya Smp 1 Pujer ,Pujer,,
PANGKALAN GAS ( ADI ) ,MANGLI ,Pujer,-7.9704308,113.8906784
APOTEK SINAR MAESAN,GAMBANGAN RT 04 RW 01 KELURAHAN/DESA GAMBANGAN KECAMATAN MAESAN KABUPATEN BONDOWOSO,Maesan,,
SERVICE/REPARASI HP,JL. LETJEN PANJAITAN RT/RW 002/001,Bondowoso,,
UD Adi Jaya,Dusun krajan rt007 rw 002 desa rejoagung-sumber wringin-Bondowoso-jawa timur,Sumberwringin,,
CIMOL 46,DUSUN PAKEL RT.001 RW.001,Tenggarang,,
ELEKTRO & BENGKEL,DUSUN WADUK RT.24 RW.06,Tamanan,,
adil sablon,Dusun Krajan Atas Rt 01/ Rw 01,Maesan,,
Penjahit konveksi,Desa jatitamban kecamatan wringin kabupaten Bondowoso,Wringin,,
Batik Ciprat,Jln. Letnan Rantam Rt : 018 Rw : 004,Curahdami,,
Bos Gemoy Farm,RT/RW 02/01 Tegal Pasir,Jambesari Darus Sholah,,
Yon motor,Jl kh asyari rt 23 kademangan bondowoso,Bondowoso,,
Rahadian Taylor,sekarputih rt033 / rw002,Tegalampel,,
ADI MEUBEL,"Kelurahan/Desa Sumber Anom,
Kecamatan Tamanan,
Kab/Kota Kab. Bondowoso,
Provinsi Jawa Timur.",Tamanan,,
SULTAN JAYA,TLOGOSARI RT.005 RW.002,Tlogosari,,
Mebel Barokah,Dusun Krajan RT 004 RW 002,Curahdami,,
PERCETAKAN ,Jl. Supriyadi 32 RT 003/RW 001,Bondowoso,,
PENJUAL BAKSO & GORENGAN,DUSUN KRAJAN II RT.07 RW.02,Maesan,,
AYAM GEPREK CAK AFAN,DESA PLALANGAN RT.11/RW03 PLALANGAN WONOSARI,Tapen,,
ERZA KONVEKSI,"Grujugan Kidul, RT. 20 RW. 03",Grujugan,,
CAKE & BAKERY,Dusun Krajan selatan Rt. 005 RW. 001,Tamanan,,
AV MOTOR,Dawuhan Rt. 010 Rw. 002 ,Grujugan,,
BETA PRINT,Jl. KIS. Mangunsarkoro RT 10 RW 04,Bondowoso,,
"TOKO "" AFIDA """,Krajan I Rt.004/Rw.001,Sumberwringin,,
Aviefa STUDIO,Dusun lapangan RT 5 RW 02,Maesan,,
Wareg Barokah,Dusun Kidul Sawah Barat RT. 32/ RW 07,Tamanan,,
Peternakan,Kampung baru RT/RW 006/003 koncer darul aman tenggarang ,Tenggarang,,
Sumber Collection,"Klabang, Sumber Suko",Klabang,,
LESEHAN KOPI+POP ICE, ALUN-ALUN,Bondowoso,-7.9131978,113.8224604
Jual es lilin,"Wonosari, BMTNU Cabang Wonosari, Bondowoso, Jawa Timur",Wonosari,,
Benih ikan rian,Desa sukowiryo rt 26/rw 06,Bondowoso,,
Rian Fish,Perum Villa Kembang Asri Blok A.9,Bondowoso,,
KARYA MANDIRI,KAPURAN RT.03 RW.02 ,Wonosari,-7.8908889,113.8989708
KARYA MANDIRI ,KAPURAN RT.003 RW.02 ,Wonosari,-7.8908889,113.8989708
SATRIA FOOD,Kh.agus salim rt.011 rw.033,Bondowoso,,
TOKO PRACANGAN,SUMBERSALAM RT 14 RW 4,Tenggarang,,
Galeri sultan,"Desa pejaten RT.008 RW.002, kecamatan bondowoso, kabupaten bondowoso",Bondowoso,,
KOPETAMA,DUSUN TAHUAN RT.022 RW.005,Tamanan,,
MO CLEAN,PERUM PANCORAN RESIDENCE BLOK RA 1 NOMOR 3,Bondowoso,,
BENGKEL LAS CAK TOSEN,Jl. diponegoro gg malabar rt.20/07 kotakulon bondowoso,Bondowoso,,
AAJ,"Desa Bataan, Rt.8 Rw.3 Kecamatan Tenggarang",Tenggarang,,
ANUGRAH SAYUR,Jl. Saliwiryo Pranowo no 55 RT 033 RW 002,Bondowoso,,
"GUFISH, TERNAK DAN PAKAN IKAN",JL.HOS COKROAMINOTO,Bondowoso,,
BUDIDAYA LELE,klampes,Tenggarang,,
AVRA JAYA,DUSUN DELUANG RT.015 RW.003,Pakem,,
Warung pelita 2,Jl santawi 568,Bondowoso,-7.9297853,113.8149913
BERKAH,Jl. Raya Situbondo Desa Sumbersuko,Klabang,,
toko peracangan,Jl.Trunojoyo Rt.013 Rw.003 Desa Tegalampel Kec.Tegalampel Kab.Bondowoso,Tegalampel,,
GIAT KERJA,KOKEBUN RT.014 RW.004,Tapen,,
KADO PAK ULFA,PADASAN RT11 RW 05,Pujer,-7.9428496,113.8795073
BENGKEL SHOLAWAT,GAYAM SUDE RT 003 RW 009 GAYAM,Botolinggo,,
JAYA ABADI,RT.021/RW.003,Tlogosari,,
UD. MA'SUM,Sumber Suko Rt. 011 Rw. 002,Klabang,,
LANGGENG 2,Jln Raya Tamanan no. 888 rt/01 rw/01,Tenggarang,,
Dagang ,desa petung rt 1 rw 5 curahdami bondowoso,Curahdami,,
WARUNG MAKAN '' DINDA JAYA '',DSN KRAJAN I Rt: 001,Cermee,,
ANEKA MOTOR,Jalan Raya Situbondo No.30 Kode Pos 68283,Tapen,,
PETERNAKAN DAN BUDIDAYA DOMBA,Desa Kejayan Kecamatan Pujer Kabupaten Bondowoso,Pujer,,
PRACANGAN PAK AGUS,JL. LETNAN RANTAM 08,Bondowoso,,
WARUNG KOPI,DIPONEGORO 146 RT.19 RW.04,Bondowoso,,
Keripik Tempe Aneka Rasa,Jl. Piere Tendean Rt 28 Rw 04,Bondowoso,,
pedagang ,Desa Petung RT.005/RW.002,Curahdami,,
YONS DECORATIONS,PELITA RT.018 RW.006 TAMANSARI,Bondowoso,,
KIOS NANDA KEDAI KOPI,Jl. Teuku Umar ,Bondowoso,-7.9136597,113.8276039
RHAKA JAYA,KAPURAN RT.09 RW.03,Wonosari,-7.8908889,113.8989708
Warung makan,Alun alun bondowoso,Bondowoso,-7.9131978,113.8224604
TOKO ROMLAH,DUSUN KRAJAN RT 06 RW 01 DESA TANAH WULAN,Maesan,,
TOKO SEMBAKO,DESA TEGAL MIJIN,Grujugan,,
"TOKO ""BUMI TERANG""",JALAN KOLONEL SUGIONO KOMPLEKS PERTOKOAN  MUTIARA ,Bondowoso,,
GALAXY KOI FARM ,Dusun kerajan rt 011 rw 002,Tamanan,,
Mebel,Bataan RT 10 RW 03,Tenggarang,-7.9206249,113.8444367
""" TOKO AGUS """,Desa Sukosari Lor RT.007 RW.001,Sukosari,,
PPOB (loket pembayaran online) ,Ds. wonosari Rt. 031 Rw. 010 Kecamatan Wonosari,Wonosari,,
Pedagang Kacang Goreng,KOANYAR RT10/05 KAPURAN WONOSARI,Wonosari,,
FREELANCE AL BAROQAH,KOTA KULON RT.020/007,Bondowoso,,
Jual beli mebel antik,DR. CIPTO MANGUNKUSOSMOI/586A,Bondowoso,,
UD. BINA TANI,Jalan Stasiun No. 11 RT.006 RW.001,Tamanan,,
REPARASI PERLENGKAPAN RUMAH TANGGA,hos cokroaminoto RT 01 RW 01 KELURAHAN KADEMANGAN,Bondowoso,,
pembibitan,lojih rt11/05,Curahdami,,
penjualan mainan,Rt.026 Rw.004,Jambesari Darus Sholah,,
PERTANIAN,Desa Binakal Rt. 04 Rw. 02 Dusun Masjid Kecamatan Binakal Kabupaten Bondowoso,Binakal,,
""" EMY TAYLOR """,Desa Pecalongan Rt.007 Rw.002,Sukosari,,
Masakan kuliner,"Dusun Widoro RT 27 RW 10
Desa Pancoran",Bondowoso,,
"RENTAL MOBIL "" TASNAN JAYA """,Desa Taman RT 010 RW 002,Grujugan,,
agus motor,"jalan PB Sudirman RT 36 RW 08,Dabasah",Bondowoso,,
UD PURNAMA,Dusun Krajan RT 005 RW 001,Jambesari Darus Sholah,,
JUAL PENTOL GORENG,DUSUN KARANG TENGAH RT.15 RW.03,Tamanan,,
Toko Pak Bowo,Jln Kh  Wahid Hasyim,Bondowoso,,
Pedagang eceran,dusun krajan,Jambesari Darus Sholah,,
Roti Bakar,Jl.RE MArtadinata,Bondowoso,-7.9149073,113.8254648
Jamu tradisional pak brewok,"Jalan pelita no 62 GG.sumber RT.15/RW.06, Tamansari, Bondowoso.",Bondowoso,,
TOKO BAROKAH,JL BRIGJEN KATAMSO,Bondowoso,-7.9126168,113.8141415
BENGKEL LAS AGUS,LOJAJAR RT.008/004,Tenggarang,,
SF TAILOR,Jl. KH. Agus Salim RT.015 RW.004,Bondowoso,,
""" SF TAILOR """,RT.015 RW.004,Bondowoso,,
PITUL SABLON & KONVEKSI,"pitul sablon, Gn. Utara, Maskuning Wetan, Pujer, Kabupaten Bondowoso, Jawa Timur 68271",Pujer,,
Bengkel motor,Hos Cokroaminoto,Bondowoso,,
MAKMUR JAYA,Sulek Rt 07 Rw 03,Tlogosari,-7.9844414,113.9350963
TOKO JAYA BAROKAH,JL.PAKISAN RT.,Tenggarang,,
4IGA SNACK MANJAHH,Jalan MT. HARYONO 22,Bondowoso,-7.9149734,113.8163508
TEMPE ASLI KHARISMA,DESA KLABANG AGUNG RT.06 RW.02,Tegalampel,,
TOKO PRACANGAN,DUSUN EKA PRAYA RT 9 RW 03,Maesan,,
SUMBER JAYA MOTOR,"JL,PAKISAN RT.009 RW.003",Tenggarang,,
Rasidi Sablon,"Dusun Krajan Atas, Rt 002/ Rw 001, Suger lor, Maesan",Maesan,,
IFA UNGGUL ,Desa Grujugan Rt. 006,Cermee,,
JUAL MAKANAN CEPAT SAJI,DUSUN  KARANG TIMUR 19/04,Tamanan,,
TANI JAYA,Tegaljati rt011 rw001 tegaljati sumber wringin bondowoso,Sumberwringin,,
Gustin Shopp,Jend Pol S.Yudodiharjo,Bondowoso,,
Warung Makan,Bunduh RT.011/RW.004 Desa Bataan Kec. Tenggarang,Tenggarang,,
UD LARIS,MASKUNING KULON RT.004 RW.001,Pujer,-7.9887111,113.8935815
UD nia,Dusun Krajan rt1rw1 Koncer Kidul Tenggarang Bondowoso,Tenggarang,,
Warung Gorengan Pak Wayan,"Jalan S. Parman Nomor 25, RT.01 RW.01",Bondowoso,,
Kripik Karin,wringin rt 002 rw 011,Wringin,,
WARUNG,Jl. santawi 100 RT.04 RW.02,Bondowoso,,
JAMUR POJOK DESA,Dusun Selatan Sawah,Curahdami,,
RAJA GADING,JLN PAKEM,Pakem,,
BENGKEL AHMAD,DUSUN KRAJAN RT/RW 010/003,Jambesari Darus Sholah,,
AD,Pejaten RT.012 RW.003,Bondowoso,,
UD AHMAD  MAKMUR,DESA PAKISAN RT.016 RW.003,Tlogosari,,
UD AHMAD MAKMUR,DESA PAKISAN RT.016 RW.003,Tlogosari,,
HARAPAN TANI,RT.16/RW.03,Tlogosari,,
Mie Ayam Pelita,"Tamansari,jl pelita",Bondowoso,,
JUAL BATU BATA,DUSUN KARANG TIMUR RT.23 RW.05,Tamanan,,
BATA MAKMUR BERKAH,Dusun Kebundara,Jambesari Darus Sholah,,
PEDAGANG,DUSUN KRAJAN ATAS RT.10 RW.01,Maesan,,
Toko peracangan,"Desa kretek,Rt011/Rw002, Taman krocok",Taman Krocok,,
PRACANGAN,DUSUN KRAJAN 03/01,Tamanan,,
Pedagang sayur-mayur,Dusun Widoro Rt 26 Rw 10 Kelurahan Pancoran Kecamatan Bondowoso,Bondowoso,,
BENGKEL AHMAD MOTOR,PEKALANGAN RT.017 / 003,Tenggarang,,
TOKO PAK AHMAD,KASEMEK RT.015 /008,Tenggarang,,
Afan Electro,LOJIH,Curahdami,,
bisnis elektronik,karanganyar,Tegalampel,-7.8355248,113.9638768
Arjuno Food,"Jl. Santawi, Maradinan, Padasan Pujer Bondowoso - Jawa Timur
Blok 3 No.V
Dusun Gentingan RT.007/RW.003
Kec. Pujer Kab. Bondowoso",Pujer,,
JAYA ABADI ,Ramban kulon kec.cermee kab.bondowoso,Cermee,,
Ayo Broilers (Daging Ayam Potong),Pecalongan RT 5 RW 1,Sukosari,,
AAM CLOTHING,"Tumpeng, Kec Wonosari, Kab. Bondowoso",Wonosari,,
KALITAPEN JAYA,KALITAPEN RT 011 RW 004 KALITAPEN TAPEN BONDOWOSO,Tapen,,
Krupuk Badri,JL. A. Yani RT 01/01,Bondowoso,,
TELUR BALAP,"Dusun Sumberjati. Rt.02/01, Desa Sumberanyar, Kecamatan maesan, Kabupaten Bondowoso",Maesan,,
Arina Speed,Dusun Pal 16 RT 007/RW 006,Binakal,,
UD RAJAWALI FURNITUR,JALAN IMAM BONJOL RT.011 RW.003,Bondowoso,,
pertanian,selolembu 06/02,Curahdami,-7.8966014,113.7897075
ALIFNET,Mangli RT.001/ RW.001,Pujer,,
TOKO DAFA,Desa Sumber Canting Rt 015 Rw 004,Wringin,,
Rantang Ikan,Jl Letnan Rantam Rt 09 Rw 07. Kecamatan Badean Kabupaten Bondowoso,Bondowoso,,
KOIN EMAS,"Kauman, Kota Kulon Bondowoso",Bondowoso,,
