Nama_Usaha,Alamat_Usaha,Latitude,Longitude
es degan ijo,jl.mt.haryono no 41 04/01 kotakulon bondowoso,,
DEERTEES,Jalan Santawi 12-14 Bondowoso,-7.9297853,113.8149913
SUQ MX,Desa Prajekan kidul,,
cemilan lek doni,tangsil wetan,-7.9092226,113.8806518
Penjahit,Ds.Jurang sapi rt.044 rw.014 kec. Tapen kab. Bondowoso,,
CABE ALAM RAWIT,Dusun karang anyar RT. 039/009 Desa Tamanan Kecamatan Tamanan,,
QUEEN SALSABILA,JL.SOEKARNO HATTA ARAK-ARAK  DEPAN PERTOKOAN WRINGIN,,
BENGKEL BAROKAH,"DESA PADASAN RT 11,RW 5 KECAMATAN PUJER  ",,
3D Komputer,Perum Kembang Permai Blok M. 14 RT 28 RW 10,,
MEBEL WAYU,Jln K.H. ALI Rt 15/Rw 04 Bondowoso,,
Ayu Bondowoso Tours,Jl. Zainul Arifin no.38 RT/RW 004/001,,
Bang Afa,"JL.KH.ASHARI RT.19 RW.04 Kademangan, Bondowoso",,
SETRA LINARA,SEKARPUTIH RT.04 RW.02,-7.8990846,113.8272249
TK MASTRIP,JL.MASTRIP NO.43 RT 7 RW 4 PANCORAN - BONDOWOSO,,
UD. PUTRA PUTRI,JL. ZAINUL ARIFIN 30 A RT. 004 RW. 001,,
TK PGRI 5 BINAKAL,jl.Tancak Kembar RT09 RW02,,
UD.WAHYU,KAJAR RT 11 RW 04,-7.9375867,113.8433413
PANDAI BESI,DUSUN KARANG TENGAH RT 15 RW 03,,
KB KURNIA,Jln Besuki Dusun Pal 16 Desa Sumber Tengah RT. 006 RW. 002 Kecamatan Binakal  Kabupaten Bondowoso,,
Dapur nikmat,Jl.imam bonjol ll/510 Rt015 Rw.003,,
Kens duren bondowoso,Jl.zainul arifin no 16,,
Edy Ternak,Panjaitan GG Merak 29 RT/RW 006/002 Tamansari,,
Wulan's C&C,Jl. HOS. Cokroaminoto,,
NICE COFFEE,Jl. Madura No.23 Perum Kademangan Indah Bondowoso,,
""" RAUNG PERKASA """,Desa Sukosari Lor Rt.022 Rw.010,,
APOTEK PURI CIPTA SENTOSA,Letjen Suprapto no 57 RT 08/RW 02,,
Pondok Herbal,Jl mastrip 15 rt 17 rw 07 pancoran,,
Juice buah aserehe,Kedai di bondowoso,,
"Olshop Baju, celana, Dll","Dusun Song Tengah RT 020 RW 006, Desa Karanganyar Kecamatan Tegalampel Kabupaten Bondowoso",,
Avandi Fotocopy,Jl. KH Asyari,,
PRODUKSI KRUPUK IKAN SUPER JUMBO,"JLN KISMANGUNSARKORO, NO.33 TAMANSARI BONDOWOSO",,
Kue,Dusun Bunduh Desa Desa Bataan Kecamatan Tenggarang,,
PENJUALAN RAMBAK/ KULIT SAPI,dusun krajan selatan RT 07 RW 01 Desa tamanan kecamatan tamanan,,
WARLES STAR,DUSUN TAMANAN TIMUR RT.017 RW.004,,
,DUSUN TAMANAN  TIMUR RT.017 RW.004,,
Kedai Sembako,Krajan 1 Rt 5 Rw 1 Desa Sumber Wringin Kec Sumber Wringin,,
toko bahan mantah dan pangan,Desa Sumber Salam Rt. 17/Rw.06,,
JUAL CAMILAN KELILING,KRAJAN RT.12 RW.02,,
PRIMA.NET,"Desa karang anyar, Rt.05, Rw.02, Kec. tegalampel, bondowoso",,
NASI PECEL B. SUPAN 2,Jl. PB. Sudirman,,
KEDAI TINI,"Jl. Sumaga RT 05 RW 03 Ds. Penambangan, Kec. Curahdami",,
Jual cilok,Jl ayani gg kasuran,,
toko peracangan,dusun klampokan desa klampokan kecamatan klabang kabupaten bondowoso,,
Penjahit,jl. RE Martadinata gg III/31 Dabasah Bondowoso,,
ice cream dan counter,maesan kec. maesan kab. bondowoso,,
Bengkel,Jenpol sucipto yudodiharjo,,
FILA COLLECTION,PERUM PANCORAN MAS H.04,,
JUAL MIE AYAM,KRAJAN 10/03,-8.0113525,113.7718239
FURNITUR KOMBINASI ,"Jl. Kodedek, Dusun Kraja, Rt. 08, Rw.03",,
UD SUMBER RAHAYU,RT.014 RW.006,,
ANEKA JUS BUAH,ALUN - ALUN BONDOWOSO,-7.9131978,113.8224604
Beetoys,Jl kh agus salim gg taman rt 10 rw 003 Blindungan Bondowoso,,
Pengrajin & penjual masker,Prajekan lor,-7.7886452,113.9833799
"CATERING ""RIAN""",JALAN CIPTO MANGUNKUSUMO NO.32 RT.20 RW.03,,
,JALAN CIPTO MANGUNKUSUMO NO.32 RT.20 RW. 03 ,,
RITA FASHION,Perum taman mutiara z no 3 RT 020 RW 006,,
UD. SENTOSA BERKAH ABADI,"JL. RAYA WRINGIN NO. 8, WRINGIN, KEC.WRINGIN",,
DwieSketsa Wajah ,Perum Kembang Permai Blok N8 Bondowoso Jawa Timur,,
SULISTYAWAN MOTOR,CERMEE RT 013/000 Desa. Cermee Kec. Cermee,,
Santi Cake,jl. k.h agus salim 28 Rt 8/03 ,,
I'AK GALLERY,"Jl. Raya koncer kidul, Dusun jatian Rt:28 Rw:09",,
BUNGA COLLECTION,Jl.PB Sudirman II/52 Bondowoso,,
,Jl.PB Sudirman II/52,,
KIRAINA BEDDING,Perum Wijaya Kusuma Klaster Blok G. I Gang Wijaya Kusuma,,
RUMAH GIZI IKAN,Kampung Haji No. 13 RT/RW 001/001,,
DWI CATERING,Perum. Lumbung Asri B. 51 Rt. 037 Rw. 006,,
,Perum Lumbung Asri B.51 Rt.037 Rw.006,,
Wulandari Cake,jln Mt Haryono no 12,,
ES BUAH JAYA,Kembang,-7.943275,113.7988114
Usaha Jamur Tiram,Randu Cangkring RT 13/02,,
KAFA SABLON,Tangsil kulon RT 10 RW 3,,
JUAL KOPI DAN CAMILAN,MANDIRO RT.04 RW.01,-7.8802838,113.8326099
dwie collection,Blindungan Rt 006 Rw 002,,
Molreng Bondowoso,"Jln pelita RT22/RW07, Gang asoka 1 , Tamansari, Bondowoso dan kedai pentol ndower solo depan hw bakery jln panjaitan, bondowoso",,
PERDAGANGAN BESAR BUAH-BUAHAN,Jln re martadinata pas selatan kantor pos,,
UD. BUNGUR RASA,Jl. Mayjen Sutoyo No. 21,,
KEDAI LADA HITAM,"JL. KHAIRIL ANWAR 203, RT 006 RW 001",,
TOKO DYVA,Vila Emas E1-04 RT 28 RW 8 Sumber Salam,,
Ginanta Hydrofarm (Hidroponik),Perumahan Pancoran Residence A7 ,,
BABY SHOP,Jl. Diponegoro RT.16 ,-7.9113419,113.8209239
PENJUAL PERALATAN RUMAH TANGGA DAN KOSMETIK BPOM,JALAN KIS MANGUNSARKORO RT 19 RW 02 TAMANSARI KECAMATAN BONDOWOSO KABUPATEN BONDOWOSO,,
SMK MAMBAUL ULUM,"Jln. Stasiun Prajekan, Prajekan Kidul, Rt. 004 Rw. 015 Prajekan Bondowoso",,
peternakan ayam,dusun koncer malang 2,,
apotek,desa sumber pandan RT 05 RW 02,,
furniture,klabang 03/02 ,-7.8438486,113.9537196
LEO SAPUTRA,"Desa Kemuningan Rt.05 Rw,01 ",,
Edy Art Glass,Desa Jumpong RT 002 RW 001,,
UD. HASNA BAROKAH,Dusun. Krajan 02 Rt. 007 Rw. 002,,
bengkel,Dusun Blok masji Rt: 13/6,,
Las listrik,Jln.khairil anwar.rt.33/01. ,,
TOKO SINAR ABADI,JL.RAYA JURANG SAPI RT.043 RW.014,,
Fish_edi'Store ,Jl. Raya Pujer,,
SANTO JAYA,"Sukosumber selatan,Rt 9 Rw 2,",,
Es Dawet Kandedes,JL. RE. MARTADINATA 140,-7.9148885,113.825333
TOKO EDI SUYANTO,Dusun Krajan Rt.007/ Rw.002,,
UD. NADITA,"Dusun Jatian Rt.11/06, Desa Sumber Pandan",,
UD Berkah Jaya,kapuran RT.003/002,,
WARUNG KOPI EDO,"Jl. Mayjen Panjaitan RT.03 RW.01
Kelurahan Dabasah",,
Toko amelia,Dusun tanian panjang RT 20 RW 04.patemon,,
UD Q BROJO,DESA PANCORAN DUSUN PASENAN RT.019 RW.008 BONDOWOSO,,
BENGKEL,KARANGANYAR RT.03 RW.01,-7.8932782,113.8195432
UD.GUDANG 99,Jl.Y.Reksowiyono.ds.Sukosari.RT.022/RW.010,,
Haydar Jourdan Coffee,Jalan KH Asyari Gang Jourdan No.924 ,,
DEVITA ASRI,SEKARPUTIH RT.003/RW.001,-7.8990846,113.8272249
NASI,TEGALMIJIN RT 001 RW 001,,
UD DIANA PUTRI,DESA KEJAYAN,-7.9857688,113.9193855
Edy Online,Jl. Kis mangunsarkoro,,
Pedagang,MT HARYONO No 22 RT 15 Rw 03,,
Warung Bu Sukri,jalan meyjen soetoyo 45 rt 16 rw 004,,
WIWIK APRIATINI,Perum Tegalasri D.18 RT. 007/ RW.002,,
SUMBER REJEKI,Kobunduh rt 19/rw 05,,
Kebun Buah Naga,Desa Blimbing RT 11 RW 02,,
Berkah shopp,Jl. Hos. Cokroaminoto,,
KERIPIK SINGKONG EFA,"Desa Penanggungan, RT 08/ RW 01
Kecamatan Maesan,
Kab. Bondowoso,
Provinsi Jawa Timur.",,
GERABAH EFAWATI,DUSUN KRAJAN RT 09 RW 02 ,,
Efendi jaya,"Krajan I, Rt: 001 Rw: 001",,
sales cosmetik dan palen,dusun karang pande rt 002/rw001 grujugan lor jambisari darushollah bondowoso,,
PETERNAK LELE SUKSES,desa grujugan kidul RT. 23 RW. 04,,
UD AL-KAHFI. JAYA,DESA KLAMPOKAN RT.007  RW.002   KEC. KLABANG  KAB. BONDOWOSO,,
WARUNG BUK SALWA,JL.KH.AGUS SALIM GG TAMAN RT.032 RT.001,,
ELI SHOP,DESA WANISOSO RT 2 RW 1 KECAMATAN GRUJUGAN KABUPATEN BONDOWOSO,,
Toko Dinda,KH. ZAINUL ARIFIN I/141,,
Warung Makan ,"jln Saliwiryo pranowo, bondowoso kode pos 68219, Jawa Timur ",,
jualan bahan pokok rumah tangga,"botolinggo, kec. botolinggo kab. bondowoso",,
KEDAI MIK SUSU,Bataan Rt 06 Rw 02,-7.9206249,113.8444367
CATERING FITRI,SEKARPUTIH RT 017 / RW 005,,
Beestuff.os by Indah Aditia,Dusun singal RT 24 RW 05 desa wonosuko kecamatan Tamanan,,
WARUNG MAKANAN,SUMBER WRINGIN RT/RW 18/03 ,,
Lalapan lesehan,Jln imam bonjol,,
