Nama_Usaha,Alamat_Usaha
KOPI REMPAH,Dusun Gajas RT 001 RW 001
Seenaknya Aja,JL. A.YANI B 50
Toko Sejahtera,Jalan Jaksa Agung Suprapto No 5
CINTA TANI,Desa Jebung Kidul Rt.017 Rw.004 Kecamatan Tlogosari
"WARUNG "" SETIA KAWAN """,Desa Kerang Rt.003 Rw.002
Pangkas rambut/ barber,Desa blimbing. rt7 rw 02 kecamatan klabang. Kabupaten bondowoso
U.D. BIALY ABADI,Desa Glintongan RT. 037 RW. 009
Walidono fishfarm,Jl. Pabun depan SD 2 walidono
"BUDIDAYA IKAN KONSUMSI ""BAROKAH AGUNG""",Desa Klabang agung RT 1 RW 1 
Toko Sembako dan gas LPG,Perum Graha Lumbung Asri Blok B No.3 
REPARASI BARANG ELEKTRONIK,DESA KARANGANYAR RT.20 RW.06 KEC.TEGALAMPEL KAB.BONDOWOSO
Percetakan BeniniR,Dusun Nasar RT. 04/ RW. 02
TOKO SUMBER BAHAGIA,DESA KAPURAN RT.001 RW.001
aira kitchen,jalan brigpol sudarlan rt 012 rw 004
TK.  BERLIAN,Desa Jambe Anom RT 20 RW 05 Kecamatan Jambesari Darus Sholah Kabupaten. Bondowoso
IKAN KERING IBU BADRIAH ,PASAR WRINGIN KEC. WRINGIN
Toko kelontong,Perumahan tamansari indah blok j30 RT22/07
BURGERGRAFER,Jalan Kartini GG. 44 RT. 25/ RW. 07
Bintang Motor,"Patemon, RT 006/RW 001, Kel. Patemon, Kec. Pakem, Bondowoso"
JERSEYAREA,BONDOWOSO JALAN SANTAWI
BANGKIT JAYA,BOTOLINGGO RT.010 RW.004
BINTANG NET,Dusun Tamanan Timur Rt. 19 Rw. 04 Desa Tamanan Kecamatan Tamanan Kabupaten Bondowoso
Toko Bintang Lima,Jl. Brigpol Sudarlan 83
Online hisap,Perumahan Bataan blok B no 28
TOKO ANIK,Perum PBI D.8 
DAPUR JAPAN,Prajekan Kidul RT.001 RW.001
TK AL HUDA JEBUNG LOR,Jl. Wonosari No. 07
TK AL HUDA JEBUNG LOR,Jl. Wonosari No.7
UMAR JAYA,"SUMBER SALAM, TENGGARANG, BONDOWOSO"
Jual beli bahan sembako dan pakan ternak dan obat obatan,Gunosari RT 005 RW 001
jual beli makanan dan minuman ,jl. KH Zaenal arifin 298
""" BONDAN PUTUT """,Kelurahan Sekarputih RT.22 RW.06
,Kelurahan Sekarputih RT.22 RW.06 
TOKO REYUNI,Paguan RT.002/RW.001
,Paguan RT.002/ RW.001
WARUNG KOPI DAN MAKANAN,DUSUN KRAJAN II RT.008 RW.008
TOKO KELONTONG,DUSUN KRAJAN RT 05 RW 1
Pedagang Kaki Lima,"Desa Penambangan, RT 7 RW 4"
B. BUAMI,KRAJAN RT.02 RW.01 DESA PAKUWESI KECAMATAN CURAHDAMI KABUPATEN BONDOWOSO
PRACANGAN,DUSUN KRAJAN RT.09 RW.03
UD BERKAH JAYA,DESA AMPELAN RT.003 RW.001
WARUNG BUATI,Dusun Koncer Malang I Rt001 Rw 001 Ds. Koncer  Darul Aman Kec. Tenggarang
Pedagang kaki lima,"Alun-alun bondowoso, kel. Dabasah, kec. Bondowoso, kab. Bondowoso, prov. Jawa timur"
pedagang sayur,wringin rt/rw 03/05
Bengkel las waras jaya,Jln mastrip no 1 sukowiryo bondowoso
DAGANG,SEKARPUTIH
Budi Asmuni,"Bataan, Rt.23 Rw.07 Kecamatan Tenggarang"
TOKO ASRI,DESA TAMANA RT.31 RW.07 
TOKO KACA MATA BUDI,TENGGARANG RT.002 / 001
Minuman serbuk tradisional,Desa gadingsari Rt04 Rw01 Kecamatan Pakem Kabupaten Bondowoso
TAHU KEDIRI,DESA TANGSIL KULON BONDOWOSO
SUSU KEDELAI D'SOYMILK,RT 03 RW 07 DESA PRAJEKAN LOR
ES BRINGIN,WRINGIN
WARUNG NASI KUSUMA,Prajekan Kidul RT.002 RW.016
BALKIN AUDIO,DUSUN KEBUN KARANG RT.017 RW.004 PUCANG ANOM
JES GRAFIS,Jl.letjen suprapto gg.V no 04 rt.10 rw.02
Perdagangan makanan dan minuman,Sempol
BUDI BAN,Jl. S. Parman depan Indomaret
TOKO SUMBER DIESEL,Jalan Mastrip 31
HOTEL RIS,KI RONGGO 37
UD ANUGERAH MAKMUR SENTOSA,KH AGUS SALIM 73
,PERIKANAN DARAT (KUD GOTONG ROYONG)
UD SUMBER BARU MOTOR,KH AGUS SALIM 28
UD. SUMBER BARU,KIS MANGUNSARKORO 111
Bengkel Las Assyifa,"Sumber Pandan Rt 04 Rw 02, Desa Sumber Pandan Kecamatan Grujugan"
TOKO SEMBAKO DAN BAHAN POKOK,Desa Taman Rt 016 Rw 010
BENGKEL BUDI JAYA SENTOSA,DUSUN KRAJAN RT.013 RW.003
PENJUAL BAKSO,DUSUN LAPANGAN RT.06 RW.02
"UD ""ROSINDO BUDI MANDIRI""",Dusun Pace RT 013 RW 004 Desa Pejagan Kecamatan Jambesari Darus Sholah
KIOS Budiyono,Prajekan Kidul RT. 1 RW.13 
BUDI JAYA,Desa Jebung Kidul Kecamatan Tlogosari
Kios kelaa p budi,Pasar bondowoso
TOKO SINAR JAYA,JALAN RAYA PASAR TAMANAN RT.011 RW.002
TOKO WULAN,Lombok Kulon
TOKO MUNCUL,DESA WONOKUSUMO RT.016 RW.006
TOKO FATMAWATI,RT. 016 RW. 007
BUDIONO BENGKEL,Ds. Krajan CERMEE RT 0216/000 Desa. Cermee Kec. Cermee
DUA SAUDARA ,DESA WRINGIN RT.013 RW.004 
UD ANUGERAH,LUMUTAN RT.021 RW.005
AL - FATAH,Jl. Kalianyar
,"Jl. Kaianyar, RT. 058 RW. 007"
,Jl. Kalianyar RT. 058 RW. 007
,"Jl. Kalianyar, RT. 058 RW. 007"
UD BUDI MOTOR,DUSUN KRAJAN RT.002 RW.002
UD PUTRA MEGAH MOTOR,Jl. RE Martadinata No. 74
TOKO FIRA,"Dsn,Krajan II"
Gilang motor,Jl pakisan rt 021 rw 007
VIVAN BENGKEL,Bataan Jln Pakisan
AL-BAROKAH ,Jl. Diponegoro RT. 032 RW. 004
Pedagang Krupuk Keliling,Desa Cindogo RT 013 RW 006
PENJUAL SAYUR KELILING,DUSUN DURIN RT.11 RW.03
Mebel buhari,Desa sumber kalong
TERNAK IKAN,"Suling wetan,RT08RW001,Krajan ll"
JUAL KRUPUK,SUMBERSALAM 02/01
PETERNAK MAKMUR JAYA,dekon 2 desa kejawan RT. 023 RW.004 KecamTan Grujugan Kabupaten Bondowoso
AL - BAROKAH,GAYAM LOR RT.006 RW. 004
TOKO B. NOR,RT. 016 RW. 003
PEDAGANG SAYUR KELILING,DESA BUKOR DUSUN DURIN RT.11 RW.03
TOKO BAROKAH,DESA DONOSUKO RT.01 RW.01
daur ulang rongsokan,dusun nasar rt 5 rw 2
Jahit dan petani,Jl.situbondo RT05/RW02
PENJUAL CILOK,KRAJAN RT.08 RW.03
Warung rafa,Prajekan kidul 
All Shop Bondowoso,Jl. Ra kartini
RUMAH MAKAN,dusun karang gilih RT004 RW002
PERKEBUNAN,JETIS RT 07 RW 04
Peracangan Abadi,"Dusun sumur,RT/RW : 015/003"
Warung makan dan minuman,Koncer kidul kec tenggarang bondowoso
INTAN JAYA MOBIL,Bataan RT.009 RW.003
perdagangan,jetis Rt 07 rw 03
Busahwi Las,"Kleken RT/RW 001/001, Kleken, Botolinggo"
Bengkel Las & Meubel Ryan Jaya,Wringin Tengah RT 004 RW 007
UD BOSS DUREN, Dusun Bata Timur Rt 32 Rw 26 Desa Tegaljati Kecamatan Sumberwringin
perdagangan,jatitamban
PERDAGANGAN,KASEMEK RT 11 RW 07
dagang kayu,rt 18 rw 7
Busiri_Barokah,Dusun Gunung Malang Selatan
ternak jaya,dusun gajas rt 01 rw02 desa pengarang
BUSRI KONVEKSI,lojih rt 11/05
ANIL ALMUNIUM & GALVALUM,Jl. Jen. Pol Sucipto Yudodiharjo RT. 001 RW. 001
Aira-Bibit,Jl Kironggo Bondowoso
Pedagang es,Dusun pesantren rt. 19 rw. 07 desa sumberkalong kecamatan wonosari kabupaten bondowoso
Toko Barokah,Desa Mandiro Rt 23 Rw 08
PRACANGAN,DSN KRAJAN RT.06 RW.02
Bayu Cake,jatitamban wringin rt13 rw4
Tape Bondowoso 46,Sumber tengah rt 2 rw 1 binakal Bondowoso 
Bengkel servis motor,"Jl.mt haryoyono gang 3 RT 20, no 21"
RBA 1819,"Jalan RE Martadinata Gang IV No.22 RT.23 / RW.05, Kodepos 68211"
BEMIL,"Jl. A.Yani A/45 RT 002/001 Dabasah Bondowoso, "
TOKO SINAR TERANG MEBEL,JALAN RAYA PAKISAN PUJER
TOKO SINAR MAS,Jln. Raya Pakisan 
Makanan dan Minuman,Jl. Diponegoro RT. 35 RW. 04 bondowoso
Petani Cabai,Sumber Kokap RT 03/02
TOKO CRJ,SUMBER SALAM RT.023 RW.007
ikan hias ixrom,AIP MOEGIMAN RT 15 / RW 06 KONCER KIDUL TENGGARANG BONDOWOSO
Cantika Catering,Jln. Diponegoro Kotakulon Gg VI RT 25/05
CAFE 7 KAWAN,Kembang Permai Rt. 034 / Rw. 010
Berkahfood,A YANI 31
Foto Copy,Desa cermee rt.21 
MIE AYAM CATUR,"JL. Hos Cokroaminoto,"
MINA SEMBADA,"Desa Petung, Kecamatan Pakem, Kabupaten Bondowoso"
Penjahit Sasha,Jl. Letjend Suprapto Gang Pesantren Dabasah Bondowoso
BAROKAH,Dusun Karang Tengah RT. 009 RW. 002
ETEK MARCUET,Jl. Saliwiryo Pranowo RT 006 RW 002
Suryanitailor,Jurang sapi rt44 rw 14 kecamatan Tapen Kabupaten Bondowoso
perbaikan alat,gang manyar dusun sreten 1
UD NACHILA,JL.HOS COKROAMINOTO 
Warung soto blindungan,Jl.panjaitan pujasera smada
"Toko "" Sari Jaya """,Jln Kis Mangunsarkoro No. 07 Kelurahan Tamansari RT 02 RW 01 Kec. Bondowoso  Kab. Bondowoso
Bakso Pak Yubi,Perumahan villa kembang asri fb 16 sukowiryo Bondowoso
CHINTIA KOSMETIK,Jl. Aip moegiman no.41 RT.13 RW.05
perdagangan eceran makanan minuman tradisional,tangsil kulon rt 15 rw 005
ijen kopikoe,sukorejo krajan
TOKO HATIRA,PASAR DESA SUKOSARI LOR
PRIMA JAYA BURUNG,Pasar Kita Jebung Kidul Los No. 08
Bondowoso Fried Chicken (BFC),Jl. PB. Sudirman Gg. II No. 26 RT 19 RW 005
Olala,Klabang RT/RW 009/003 Bondowoso
Piyo Piyo,Klabang RT/RW 009/003
Asongan susu kedelai,Jl. Abdul Wahid no.63
Kue christy,Blindungan rt 015 rw 004
Yammi Yoghurt,"Asmil Yonif raider 514, curahdami, Bondowoso, Jawa Timur"
Cici cake,Jl.sucipto yudodiharjo
ISTANA BUAH,Jl. Pasar Cermee Samping Toko Emas Sidodadi Sebelah Barat
CICI BAKERY,Dusun Paleran RT04/ RW 02 Penanggungan Maesan
CICIK SRI SAKSAMI,Perum Tegalasri RT.07 RW.02
BATIK KI RONGGO,Krajan 1 Desa Sumbersuko RT. 02 RW. 01 
KONTER MAUDY 3,"DESA TRAKTAKAN RT 01,RW 01 KECAMATAN WONOSARI"
SALON CECE,PONCOGATI RT.010 RW.003
ALLECHA SHOP,Jl. Letnan Rantam Gg. Genggong No.20 Badean Bondowoso
CHE.RI KITCHEN,Jl. Letnan Rantan Gg. Genggong No.20 Badean Bondowoso
CINIPTO TERNAK,Kelurahan sekarputih
KLAMBI BOCAH,BRIGJEND KATAMSO 72A RT/RW : 08/02
NIBROS TOKO,RT.012 / RW.004
Dhepor Mama,Tegalampel 
"TOKO "" SUBUR JAYA """,Kembang Rt. 019/---
UD BILAL MAKMUR,MANGLIWETAN 15/07
syachira Frozen food,Tamansari indah blok j no 3 Bondowoso
Lapak Bunda Citra,"Dusun drasah, RT 25-RW 10, Desa Kalitapen, kecamatan Tapen"
silky pudding bondowoso,jln kh agussalim no 40 rt 08 rw 03
PENJUAL CILOK,JL MASTRIP RT 14 RW 04
CITRA TAYLOR,"Desa Prajekan Lor, RT. 003 RW. 002"
PERLENGKAPAN KUE DAN CATERING,KELURAHAN SEKARPUTIH RT04 BLOK PASAR KECAMATAN TEGALAMPEL
Warung lesehan lalapan,ALUN ALUN DEPAN LAPAS BONDOWOSO
TOKO JUAN,Jl. Trunojoyo Dusun Pasar RT 002 RW 001
PEDAGANG ECERAN ,desa kembang rt 19 rw 07 kecamatan bondowoso 
PRACANGAN,TAMAN RT.01 RW.01
Cung Sound System,Paguan Rt 02 Rw 01
TV KABEL,SEKARPUTIH RT 013 RW 004
KUE AYNUL  YAQIN,DUSUN KRAJAN IV RT 015 / RW 004
JAHIT PUNCAK,Dusun Lapangan Rt 005/Rw 002
UMKM Industri Tempe,Dakon 1 RT 14 RW 03 
TOKO FAJAR,RT. 11 DESA SEMPOL
BENGKEL,DUSUN KRAJAN ATAS RT 01 RW 01
PENJUAL GORENGAN,DESA LEPRAK RT.06 RW.01
D-TO'S RABBIT CULLINARY,Curahpoh Rt 02
Dela_Cake,Jl. Sumber Anyar. Dususn Kebundara
TOKO GOLDEN,"JL. RAYA SITUBONDO, DESA KALITAPEN RT.01 RW.01"
UD. ROYAL,"JLN VETERAN, DABASAH, BONDOWOSO"
Pangsit Mie Ayam Gloria,Jl. Diponegoro
UD SAHABAT INTI BANGUNAN,Traktakan Bondowoso
,"Traktakan, Bondowoso"
UD BINTANG JAYA,Desa Mangliwetan RT 09 RW 04
TOKO OLEH-OLEH DEWANDARU,JALAN KISMANGUNSARKORO 52 RT.028 RW.007 
Barokah Doa Maesan,"jalan Jember Bondowoso, No 17 RT 037 RW 05, "
Queen Bakery,Dusun talpek RT 14 RW 02 desa sumbersuko 
Kerupuk dua kakap,Mengok RT 2/ RW 01 Mengok
,Mengok RT 02 / RW 01 Memgok
""" JBL FOUNDATION """,Dusun Krajan RT 012 RW 002
,Jl. Pakisan No. 01 Desa Pakisan
DANIL UCIHA,"Gayam, Rt: 008 Rw: 012"
"""TOKO DIAN""",Desa Kerang Rt.002/Rw.001
CV. FIVEPILLAR SENTONG,RT. 021 RW. 005 DUSUN SOKLEH TIMUR
TOKO SUMBER ABADI,JL. YOS SUDARSO kEL. BLINDUNGAN
WARUNG BUK KADIR,JALAN DIPONEGORO
DANY OIL,Perum kembang permai HH.16 RT 33 RW. 010
Gorengan,Jalan Pelita RT 15 Rw 06 Kelurahan Tamansari
PETANI,DUSUN KRAJAN RT/RW 017/003
STMJ,"DUSUN GUMUK JAJAR, RT:27 RW:13  "
TOKO PRACANGAN,DUSUN JASABA RT.25 RW 08
DARSUKI SPEED,"Dusun Posong, RT 020/RW 006, Kel. Tapen, Kec. Tapen, Bondowoso"
UD SEJATI,DESA ARDISAENG RT.003 RW.002
Jahit baju dan vermak pakaian,Wonosari RT 31 RW 10
Es Manado,Jl. A. Yani
dandy bakery,"jl. Diponegoro, gang 5"
DAVID BENGKEL,Jl. Ahmad yani No 113 Bondowoso
pengecer rokok,jl letjen soeprapto
,RT.015 / RW. 003
,RT.011 / RW.003
Shane Computer,Jl Sucipto Yudodiharjo No 06 
KONVEKSI NANO NANO,JEND POL S YUDODIHARJO RT.029 RW.006
AMIRAH ACCECORIS,Prajekan Kidul RT.004 RW.001
DECHILA FLORIST,Kembang Permai Blok J 07
WARUNG TONGGO DEWI,DUSUN KRAJAN SELATAN RT.002 RW.001
DEBBY ONLINE SHOP,Dr. Wahidin Sudirohusodo 48
DEBY MOTOR,Jl. Gardu Atak Gununganyar RT.006 RW.002
,Jalan Gardu atak gununganyar Dusun Krajan Baru RT.006/002
TOKO SUMBER ABADI PUTERA,JALAN DESA MENGOK 
TOKO RISKY,Cermee Rt 10
Gerobak mama dede,jalan letjen suprapto gang pesantren rt 13 rw 03 no 33
Toko Anita Sembako,Jl.Hoscokroaminoto Kademangan Kulon Rt 24 Rw 04
UD INTAN IDOLAKU,Jl. Letnan Sudiono No. 20
cocopuspita,"JL. Letnan Rantam
Perum Istana Bondowoso Blok G No 18
Badean - Bondowoso"
,"JL Letnan Rantam
Perum Istana Bondowoso Blok G - 18
Badean – Bondowoso
081266752977"
Konter pulsa,Desa sulek rt15/rw 07
pembibitan kambing,sumber wringin rt/rw 05/01
Perdagangan,Lojih Rt:11/5 
Percetakan DEDDY,Jl. Veteran 53 rt 029/007
Peternakan lele wiji,Jl A yani gang A nomer 47 
JeEfZed,Dsn. Kramat Jati RT 011 
SKETSA WAJAH,PERUM KEMBANG PERMAI BLOK N8 BONDOWOSO
PEDAGANG KAMBING,KAPLINGAN DESA BESUK RT 05 RW 01
UD. MAKMUR JAYA,RT 008 RW 002
'' HIJR 19 '',Dusun Rowo RT.012 RW.005
Warung Klontong,Jl. Mastrip RT 3 RW 1 Sukowiryo Bondowoso
TOKO DEWI,KEL CERMEE RT 018 KEC CERMEE KAB BONDOWOSO
PENJAHIT MARIA,Dusun drasah
UD BAROKAH SEHAT,Desa Tumpeng Rt 16 Rw 07 Kecamatan Wonosari Kab. Bondowoso
TOKO ASSALAM,DESA SUKOSARI KIDUL RT.003 RW.001
Gibran Snack,Desa Kalitapen RT015/RW005 Kec. Tapen Kab. Bondowoso
Dewe Studio ,Jln pelita 19 /27 rt16 rw06 Tamansari 
"KIOS ""DEFI""",Jalan Raya Kawah Ijen RT. 033 RW. 004 
DEFIN besek,taman rajeh rt06/03
Lampu hias ukir,jl.Ahmad Ayani gg c no 27 Bondowoso jawa timur
UD. TANI JAYA,"DESA JATISARI RT.01 RW.01, KEC. WRINGIN, KAB. BONDOWOSO"
Asesoris rumah tangga,Barang plastik
UD USAHA BARU,"Dusun Lawang Seketeng, RT.008/ RW.002"
gas eceran,klabang rt02/01
NINDY BAROKAH,DS. Wonosari RT. 032 RW. 011 Kec. Wonosari Kab. Bondowoso
Rumah cantik Naura,Jl.jenpol.s yudo diharjo gg.purbosari rt.29 rw.6 kotakulon bondowoso
usaha mami,Perumahan Ki Ronggo No.7 Sekarputih
DEVIN,Dusun Lunggusari Rt.025 Rw.006
DEVIN SHOP,Dusun Lunggusari Timur Rt.025 Rw.006
"UD ""BINTANG UNGGUL""",DUSUN SUMBERAYEM RT. 033 RW. 004
TOKO ADEL,Dusun Krajan Utara RT. 003 RW. 001
TOKO ADEL DAN DISTRIBUTOR Msi Skincare @ Halthy,Dusun Krajan Utara Rt. 003 RW. 001
Kerajinan sapu ijuk,Dusun jatian Rt.25 Rw.09
Jual beli bunga,Jl.raya situbondo RT 034 RW 011
Pede.Net,Desa Klampokan RT 09 RW 02 Kecamatan Klabang Bondowoso
TOKO PROFIT,Jl. KH Manyur No.20 Rt 24 Rw 07 Blindungan Bondowoso
TOKO SAMPEAN,Jalan Raya No.810 RT.016 RW.004
UD. MADYA,Jl. PB SUDIRMAN 82
,JL. PB SUDIRMAN 82
UD BAROKAH,PASAR INDUK BONDOWOSO
Warung makan,Pekauman rt009/rw003grujugan bondowoso
Warung wongndeso,Pekauman rt009/rw003grujugan
las akbar,jl.piere tendean
"Toko "" Sepatu&Sandal Kotakulon""",Jl. MT. Haryono No. 2 RT. 010 RW. 002
"WARUNG ""BOK TIJA""",Tenggarang Rt.5 Rw.2
Perdagangan (Jual Gorengan),Jl Brigjen katamso 15 rt 8 rw 2 kotakulon
Penjahit,Jl.Hos Cokroaminoto No.3 Gg ayam 
Sayur Balap,Desa Jebung Lor RT 010 RW 001
PRACANGAN ,SEKARPUTIH RT.11 RW.03
Warung,Desa mrawan dusun taman rt 010 rw 004  tapen bondowoso
ATHASENNA,Jalan Ahmad Yani Gang B No.22 RT.01/RW.01 Dabasah 68211 Bondowoso
Warung mie pangsit DR,Jl.letjend suprapto gg V no 40 rt.10 rw.02
kedai ihsan,"Jl. Brigjen Katamso no.47. Badean, Bondowoso"
PEDAGANG BAKSO,Poncogati Rt 05 Curahdami
TOKO SEMBAKO,Jl. KH. Agus Salim
catering,jalan Diponegoro RT/RW 003/001 Kotakulon
CV LISAN,Jl. RE. Martadinata 68 RT. 31 RW. 8 Kelurahan Dabasah Kabupaten Bondowoso 
,Jl. RE. Martadinata 68 RT. 31 RW 08
,Jl. RE. Martadinata 68 RT.31 RW.08
,Jl. RE. Martadinata 68 RT. 31 RW. 08
Olahan Dapur Mama Ita,Jl. KH. Agus Salim RT.017/Rw.004 Blindungan Bondowoso
WARUNG B. DEVI,KRAJAN RT 02 RW 01 DESA PAKUWESI KECAMATAN CURAHDAMI KABUPATEN BONDOWOSO
JONG SAKERA 2, JALAN  RAYA  MASJID NURUL HIDAYAH DUSUN KEMIRIAN RT 037/ RW 011 DESA WONOKUSUMO KECAMATAN TAPEN KABUPATEN BONDOWOSO
DEVI SALON,JL.KELAPA SAWIT RT.06 RW.02 DESA WONOSARI KAB.BONDOWOSO
Devi'e Colection,Re. Martadinata
LELE BANG IYEK,"Dusun selatan sawah, Desa Poncogati, Rt.01/Rw.01,Kecamatan Curahdami"
TOKO BANG IYEK,"Dusun selatan sawah,Desa Poncogati, Rt.01/Rw.01,Kecamatan Curahdami"
DEVIDEROSHOPE,KADEMANGAN RT 025 RW 001
Jual baju,DUSUN KALIANYAR TENGAH
Ice Cream World,Jl. Letjen Suprapto RT 13 RW 3
RADITYA Motor,Jl. PELITA 24 RT.016 RW.006 Bondowoso
UD SUMBER TANI JAYA,Dusun Sundang RT.012 RW.006
HDTSHIRT,jln. pakisan Gg Ponpes Nurul khalil  RT/RW 013/004
UD TUNGGAL JAYA,Dusun salak 
TOKO JAWA,Desa Sumbersuko RT. 04 RW. 01
Toko Baju Dewi,Dusun kalianyar barat rt 12 rw 03
toko,dusun sempol
Gallery Nadhira,Bercak Asri RT 06 
UD. AYU LESTARI,SUKOWONO RT. 017 RW. 002
ROMANSA GALLERY (FLORIST AND ART),Jl. Diponegoro no 97/72 RT. 25 RW. 005 Kel. Kotakulon Kec. Bondowoso
Dewi Shop,Desa Sulek RT 16 RW 07 Kecamatan Tlogosari
BUBUR BAROKAH,jln mastrip B17 rt 007 / rw 002
Shofia Gallery,Jebung Kidul RT 02 RT 01
CATERING CITA RASA,VILLA KEMBANG ASRI BLOK I 27
Warung Trubus,Jl. teuku Umar RT 006/RW 006
BISMILLAH,JL.HOS COKROAMINOTO 10 RT.006 RW.001
KEDAI BAROKAH,Jl.Brigjen Katamso No.30
Graha Karimata,Jl. Situbondo Gg karimata Rt.09 Rw.03
PRACANGAN,Jl.RE Martadinata 69.4 No.17
PEDAGANG JAYA,kotakulon
TOKO DEWI,JL PELITA 127 RT.016 RW.006
UD  DWI PUTRI TEKNIK,JL RAYA LUMUTAN DESA LUMUTAN RT.058 RW.011 BOTOLINGGO
PERACANGAN,DUSUN WADUK RT.25 RW.06
ANEKA GORENGAN DEWI,BATAAN RT.008/003
Dewi Kripik,Desa Sukowiryo Rt. 015 Rw. 03 Kecamatan Bondowoso Kabupaten Bondowoso
Warung Mak Rom,Jl.Brigjen Katamso
TOKO PERACANGAN,MANDIRO RT 24 RW 8
YUFA TART,PASAREJO RT.010 RW.005
TOKO,DUSUN SELATAN SAWAH
Manting Kuning ,"Jl. MT Haryono 977, RT 15 RW 03, kotakulon, Bondowoso, Jawa Timur"
GALERI UTAMA,DUSUN KRAJAN SELATAN RT.001 RW.001
JUAL BELI BAJU DAN HIJAB,Jalan Pesantren Dusun Krajan RT 01 RW 01 Desa Padasan
LANCAR JAYA,Dusun Jawa
TOKO SAMPURNA,Desa Ramban Wetan RT. 01 RW. 01 Kec. Cermee Kab. Bondowoso
ANEKA OLAHAN MAKANAN DAGING FROZEN DAN BAKSO,"Jalan raya pujer, sumber salam bondowoso"
Kafe Teman Sehati,RT 08/RW 03 dusun bunduh desa bataan kecamatan tenggarang
TOKO MULYA,Jln PB Sudirman No 45
Dheny rumah kaos,jl. mayjen panjaitan 25 rt 18 rw 08 gang walet tamansari bondowoso
Selep Dina,"Jl, Cermee Banyumas Rt.02/Rw.01 Sempol"
Rumah Batik Naila,jl brigjend katamso 55 rt 11 rw 05
TOKO WIJAYA,Perumahan taman mutiara blok o no 11 pejaten
BOX - BOX AQUATIK,A.YANI GG.ART.002 RW.001
TOKO B. NURYA,"TAMAN KENIK RT 09 RW 03, DESA PAKUWESI"
peralatan bayi,klabang 03/01
Puspitasari,"Koncer Kidul, Bondowoso"
Dapur dyah,Jl KH Agus Salim GG UD sumenep blindungan Bondowoso 
Dyah shop,Jln kh Agus Salim GG UD sumenep blindungan Bondowoso RT 05 RW 02
Diah jajanan tape,Jl. Kolonel sugiono no. 29
LALAPAN,Jl. KIS MANGUNSARKORO NO 94
Pink Shop ,Khairil Anwar No.04 RT?RW 006/001
konter flas hp,mandiro
DianCatering,Sukodono
RICCO LELE,Dusun krajan RT 10 RW 02 desa pengarang kecamatan jambesari darus sholah
RICCO ONDERSTEL,DUSUN KRAJAN RT 10 RW 02 
Barokah,Jebung Kidul RT. 05 RW. 01
JUAL KETAN BUBUR,DESA TAMAN RT 76 RW 09
Coffee Shop,Sekarputih
HARMONY FAMILY,DESA SUKOWIRYO VILLA KEMBANG ASRI BLOK BB 7 RT. 026 RW.006
perdagangan,perumahan griya diponegoro regency blok d.37
Toko,Desa Kembang RT08/RW3 Kecamatan Bondowoso
PANDU  PETSHOP,JALAN KH. ASYARI NO 129
Angkringan,Jalan ahmad yani gang nol 
dzahra snack,dusun taman
CEMILAN DAN GORENGAN,SUMBERSALAM RT/RW 026/008
RAYA DESIGN PRINTING,JL. DIPONEGORO NO.87B RT26 / RW05 KOTAKULON BONDOWOSO
WARUNG LALAPAN CAK JENGGOT,DUSUN GABUGAN RT.011 RW.003
Industri kue,"Jln. Mastrip no.04, Rt14/Rw004, Sukowiryo, Bondowoso"
PRACANGAN,JL. PERIKANAN DARAT RT.19 RW.07
Penjahit pakaian,Maesan 
PERDAGANGAN,Desa jetis RT.13 RW.06
DAGANG KUE KREPES,Dusun Singal RT. 021 RW. 005
Mie Ayam,"Sukowiryo RT.008, RW.002, Sukowiryo, Bondowoso"
Diana Cakery,Jl. Cipto Mangun Kusumo No.54 RT 23/RW 04 
Najwa collection,Desa poncogati RT 03 RW 01 Curahdami Bondowoso
Ngemilk_in,"Paguan rt 5/01, taman krocok."
Taksi Online,SULEK RT007/RW003
Maju Jaya,Dusun Krajan Barat RT 003 RW 001
Ud.  Dua putrikojip,PEKAUMAN RT/RW 011/003
UD TERLANJUR JAYA,DESA SUMBERSALAM 
Coconuto,Desa koncer Jl. Tamanan
TRIGE,Jl.Diponogoro gg malabar rt 21 rw 07 kotakulon Bondowoso
Didik Bengkel,RT. 015 RW. 003
"TOKO ""BERKAH JAYA""",Desa Rejoagung Dsun Plampang Rt.017/Rw.002 Kec.Sumber Wringin Kab.Bondowoso
TOKO BUKIT TINGGI,Desa Maskuning Kulon 
DIDIK TAILOR,Desa taman kecamatan grujugan RT 5
MEUBEL ANUGRAH,PEJATEN RT:02/01
UD BERKAH JAYA,DESA CERMEE RT. 05 KECAMATAN CERMEE KABUPATEN BONDOWOSO
DIX MILLIAN BONDOWOSO,"Sumber Salam, RT. 027/ RW. 008"
UD. ALSYA JAYA,Kembang RT. 25 RW. 09
TOKO SEMBAKO,"sumber pandan, rt : 05 rw : 02, "
KUSUMA JAYA,"Jl,Raya Tamanan No. 31 "
Penjahit,Lojih Desa Jetis rt11 rw05
Catering dan kue,Desa klampokan rt 07 rw 02
DIDIT JUAL BELI DAN TERNAK BURUNG,JL MASTRIP SUKOWIRYO RT 7 RW 2
UD JAYA FAQIH,Kalitapen Rt. 025 Rw. 010
TOKO SEDERHANA,Jln. Kolonel Sugiono No. 67 Rt. 10 Rw. 02 Kelurahan Kademangan
SUMBER BAROKAH MOTOR,Dusun Randulimasatu RT 012 RW 002
